Número do Bem,Motivo
8555528141611,Falha na requisição HTTP
8787709358192,Falha na requisição HTTP
8555522167910,Falha na requisição HTTP
8444424182557,Falha na requisição HTTP
8555534692039,Falha na requisição HTTP
8787712629134,Falha na requisição HTTP
8787701011274,Falha na requisição HTTP
8787714741969,Falha na requisição HTTP
8444404452990,Falha na requisição HTTP
8444429605707,Falha na requisição HTTP
8787711111549,Falha na requisição HTTP
8444428737200,Falha na requisição HTTP
8787713624101,Falha na requisição HTTP
8787710747237,Falha na requisição HTTP
8787717152247,Falha na requisição HTTP
8444423131207,Falha na requisição HTTP
8444428983422,Falha na requisição HTTP
8787708049366,Falha na requisição HTTP
8444422123715,Falha na requisição HTTP
8444410406466,Falha na requisição HTTP
8444424189004,Falha na requisição HTTP
8444411311906,Falha na requisição HTTP
8787704713989,Falha na requisição HTTP
8555538533903,Falha na requisição HTTP
8787704797899,Falha na requisição HTTP
8787702888943,Falha na requisição HTTP
8787709606935,Falha na requisição HTTP
8787705505883,Falha na requisição HTTP
8555522805534,Falha na requisição HTTP
8444428349570,Falha na requisição HTTP
8444417051639,Falha na requisição HTTP
8787711059830,Falha na requisição HTTP
8787712132566,Falha na requisição HTTP
8787706648408,Falha na requisição HTTP
8787710605300,Falha na requisição HTTP
8444413376746,Falha na requisição HTTP
8444427442398,Falha na requisição HTTP
8787710282420,Falha na requisição HTTP
8787714750275,Falha na requisição HTTP
8787708999844,Falha na requisição HTTP
8787705495489,Falha na requisição HTTP
8444413568327,Falha na requisição HTTP
8555531574825,Falha na requisição HTTP
8787706101247,Falha na requisição HTTP
8444426709137,Falha na requisição HTTP
8787708871341,Falha na requisição HTTP
8787700251271,Falha na requisição HTTP
8555539951547,Falha na requisição HTTP
8444425492533,Falha na requisição HTTP
8444422597318,Falha na requisição HTTP
8787709365806,Falha na requisição HTTP
8787711640096,Falha na requisição HTTP
8444411659848,Falha na requisição HTTP
8787709364974,Falha na requisição HTTP
8787708518889,Falha na requisição HTTP
8444429478209,Falha na requisição HTTP
8444432278894,Falha na requisição HTTP
8787711139478,Falha na requisição HTTP
8444419545965,Falha na requisição HTTP
8787708365772,Falha na requisição HTTP
8787707554466,Falha na requisição HTTP
8787710386099,Falha na requisição HTTP
8444425717241,Falha na requisição HTTP
8787717073029,Falha na requisição HTTP
8787712736305,Falha na requisição HTTP
8787706664977,Falha na requisição HTTP
8555533737799,Falha na requisição HTTP
8787708151047,Falha na requisição HTTP
8787717163524,Falha na requisição HTTP
8787702041070,Falha na requisição HTTP
8555504396270,Falha na requisição HTTP
8787706104793,Falha na requisição HTTP
8444430103248,Falha na requisição HTTP
8787711953604,Falha na requisição HTTP
8444422377741,Falha na requisição HTTP
8555531803980,Falha na requisição HTTP
8787703739291,Falha na requisição HTTP
8444427738246,Falha na requisição HTTP
8787702957279,Falha na requisição HTTP
8787705359712,Falha na requisição HTTP
8444402344104,Falha na requisição HTTP
8787709551332,Falha na requisição HTTP
8787710954607,Falha na requisição HTTP
8444412460085,Falha na requisição HTTP
