
 Lista de Imóveis da Caixa;;Data de geração:;21/11/2025;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8787710004412 ;SC ;BIGUACU ;BOM VIVER ;RUA ADELINO MACHADO, N. 329, Apto 402, BL 19 VG 200 ;190.000,00;190.000,00;0.00;Apartamento, 70.20 de área total, 43.80 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710004412
 1444419683545 ;SC ;BIGUACU ;BEIRA RIO ;AVENIDA WILSON CASTELO BRANCO, N. 81, LT 64E QD B LOT CIDADE DELTAVILLE ;256.000,00;256.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 180.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444419683545
 8555533161927 ;SC ;BIGUACU ;PRADO ;RUA 13 DE MAIO, N. 785, Apto 102, BL 07 TÉRREO VG 74 - BOSQUE AMARELO ;225.000,00;225.000,00;0.00;Apartamento, 60.32 de área total, 51.36 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555533161927
 8787715226022 ;SC ;BLUMENAU ;ITOUPAVA CENTRAL ;RUA RUDOLFO WALTER, N. 1449, Apto 204, BL 24  PAV 2 VG 399 ;129.948,90;215.000,00;39.56;Apartamento, 48.40 de área total, 38.40 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715226022
 8787709701547 ;SC ;BLUMENAU ;PROGRESSO ;RUA JOAO DEOLA, N. 150, Apto 201, BL 11 VG 141 VG M08 ;126.322,42;209.000,00;39.56;Apartamento, 77.73 de área total, 38.40 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787709701547
 8787711685103 ;SC ;BLUMENAU ;ITOUPAVA CENTRAL ;RUA RUDOLFO WALTER, N. 1445, Apto 102, PAV 1 BL 10 ;156.749,95;256.000,00;38.77;Apartamento, 0.00 de área total, 38.40 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711685103
 8555526737371 ;SC ;BLUMENAU ;ITOUPAVAZINHA ;RUA FREDERICO JENSEN, N. 2299, Apto 201, BL 07 ;180.629,83;295.000,00;38.77;Apartamento, 0.00 de área total, 59.38 de área privativa, 0.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555526737371
 1444404283554 ;SC ;BLUMENAU ;ITOUPAVA NORTE ;RUA SAO JERONIMO, N. 160, Apto 302, BL F VG 302-F ;119.590,43;190.000,00;37.06;Apartamento, 93.09 de área total, 80.12 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444404283554
 8444421861984 ;SC ;BLUMENAU ;VELHA ;RUA LEOPOLDO ROTERS, N. 126, Apto 11, BL E ;147.914,48;235.000,00;37.06;Apartamento, 53.56 de área total, 46.90 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444421861984
 8787713099120 ;SC ;BLUMENAU ;ITOUPAVA CENTRAL ;RUA RUDOLFO WALTER, N. 1449, Apto 402, BL 21 VG 457 SUB COND RES BENDORF ;205.000,00;205.000,00;0.00;Apartamento, 48.34 de área total, 38.40 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787713099120
 1787700704260 ;SC ;BLUMENAU ;PROGRESSO ;RUA JOAO DEOLA, N. 150, Apto 101, BL 12, BOX 154, BOX DE MOTO M13 ;160.000,00;160.000,00;0.00;Apartamento, 87.23 de área total, 38.40 de área privativa, 0.00 de área do terreno, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1787700704260
 8787709148635 ;SC ;BLUMENAU ;PROGRESSO ;RUA JOAO DEOLA, N. 150, Apto 201, BL 15, VAGA 199 ;245.000,00;245.000,00;0.00;Apartamento, 54.10 de área total, 43.14 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787709148635
