
 Lista de Imóveis da Caixa;;Data de geração:;21/11/2025;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444421904152 ;GO ;AGUAS LINDAS DE GOIAS ;MANSOES IMPERATRIZ ;QUADRA 8, N. 33A, CS E, LT08 ;37.672,17;130.451,06;71.13;Casa, 0.00 de área total, 64.45 de área privativa, 158.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444421904152
 8444402353065 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM AMERICA IV ;QUADRA RUA 32, N. SN, LT 10 QD 96 ;31.457,06;105.000,00;70.05;Casa, 0.00 de área total, 58.81 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444402353065
 8444428350349 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM DA BARRAGEM VI ;QUADRA 44, N. SN, Apto 102, LT 03 - RUA 01 ;37.272,53;124.000,00;69.95;Apartamento, 0.00 de área total, 58.15 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444428350349
 8444405324236 ;GO ;AGUAS LINDAS DE GOIAS ;RES OURO VILLE ;RUA M3, N. SN, LT 10   QD 07 ;30.371,15;100.000,00;69.63;Casa, 0.00 de área total, 55.22 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444405324236
 8444418294098 ;GO ;AGUAS LINDAS DE GOIAS ;CHACARAS QUEDAS DO ;RUA 41, N. SN, Apto 101, BL C VAGA DE GARAGEM 09 ;41.027,43;135.000,00;69.61;Apartamento, 0.00 de área total, 48.51 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444418294098
 8444425488420 ;GO ;AGUAS LINDAS DE GOIAS ;MANSOES VILLAGE ;AVENIDA 4, N. SN, Apto 2, QD 32 LT 04 PAV TERREO BL A ;42.091,11;138.500,00;69.61;Apartamento, 0.00 de área total, 44.73 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425488420
 1444419759290 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM SETOR 11 ;RUA 6, N. SN, CS 20, LT 08C, QD 88, CJ A, ST 11 ;112.960,87;370.000,00;69.48;Casa, 0.00 de área total, 123.93 de área privativa, 155.40 de área do terreno,  2 qto(s), a.serv, WC, WC Emp, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444419759290
 8555537145896 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM SETOR 02 ;AVENIDA 1, N. SN, Apto 403, 3 PAVIMENTO LOTE 23 QUADRA 32 ;47.018,64;153.000,00;69.27;Apartamento, 0.00 de área total, 57.93 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555537145896
 8444427739005 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM SETOR 05 ;QUADRA 7, N. SN, Apto 102, CJ A QD 07 LT 29B R 21A ;44.560,15;145.000,00;69.27;Apartamento, 0.00 de área total, 48.23 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444427739005
 8444419561006 ;GO ;AGUAS LINDAS DE GOIAS ;MANSOES VILLAGE ;AVENIDA 1, N. SN, Apto 102, TERREO  BLC A LT 04 QD C25 ;43.330,90;141.000,00;69.27;Apartamento, 0.00 de área total, 47.20 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444419561006
 8444416356398 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM DA BARRAGEM IV ;VIA DE ACESSO, N. 0, Apto 102, LT 01 QD 40 ;42.716,28;139.000,00;69.27;Apartamento, 0.00 de área total, 54.12 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444416356398
 8444414748442 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM SANTA LUCIA ;QUADRA 8, N. SN, Apto 15, 1 PAVIMENTO ;45.359,16;147.600,00;69.27;Apartamento, 0.00 de área total, 65.14 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444414748442
 8444415875120 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM SANTA LUCIA ;QUADRA 4, N. SN, Apto 302, 2 PAVIMENTO  LT 03 ;47.633,26;155.000,00;69.27;Apartamento, 0.00 de área total, 64.85 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444415875120
 8444416700978 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM SANTA LUCIA ;RUA BAURU, N. SN, Apto 101, LT 13  QD 30 ;44.252,84;144.000,00;69.27;Apartamento, 0.00 de área total, 65.14 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444416700978
 8787711163719 ;GO ;AGUAS LINDAS DE GOIAS ;CHACARAS QUEDAS DO DESCOBERTO ;QUADRA 39, N. SN, Apto 102, BL C CH 834 AV D ;47.633,26;155.000,00;69.27;Apartamento, 0.00 de área total, 77.95 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711163719
 8444422683893 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM PEROLA DA BARRAGEM II ;RUA 3, N. SN, Apto 202, LT 16 QD 52 ;49.174,93;158.000,00;68.88;Apartamento, 0.00 de área total, 54.90 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444422683893
